% Moku:Pro Oscilloscope
% Channel A
% Channel B
% Channel C
% Channel D
% Time span 2.788 s, time offset -92.92 ms, Precision acquisition mode, no averaging
% Edge trigger: Channel D, level 4.593 mV, Normal mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Ramp, 200.000 mHz, 22.0 mVpp, offset 5.1 mV, phase 0.000 000 deg, symmetry 50.00 %
% Output B (off) - DC, 1.5 mV
% Internal 10 MHz clock
% Acquired 2025-09-23 T 16:36:48 +0800
% Time (s), Channel A (V), Channel B (V), Channel D (V)
-1.4618013696e+00, 1.0908649923e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4616061504e+00, 1.0903391390e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4614109312e+00, 1.0905845372e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4612157120e+00, 1.0906546510e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4610204928e+00, 1.0903391390e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4608252736e+00, 1.0957378989e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4606300544e+00, 1.0925126657e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4604348352e+00, 1.0928281777e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4602396160e+00, 1.0917764712e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4600443968e+00, 1.0924074951e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4598491776e+00, 1.0923724382e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4596539584e+00, 1.0934241446e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4594587392e+00, 1.0920218694e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4592635200e+00, 1.0945109080e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4590683008e+00, 1.0886564087e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4588730816e+00, 1.0901989115e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4586778624e+00, 1.0942655098e-03, 0.0000000000e+00, -2.7490204465e-03
-1.4584826432e+00, 1.0904443097e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4582874240e+00, 1.0910052198e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4580922048e+00, 1.0950367612e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4578969856e+00, 1.0915310730e-03, 3.1551193658e-05, -2.7736303776e-03
-1.4577017664e+00, 1.0926178364e-03, 2.5942092563e-06, -2.7736303776e-03
-1.4575065472e+00, 1.0952471025e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4573113280e+00, 1.0929684052e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4571161088e+00, 1.0935293153e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4569208896e+00, 1.0934942584e-03, 2.8746643110e-05, -2.7736303776e-03
-1.4567256704e+00, 1.0934241446e-03, 6.6257506681e-06, -2.7736303776e-03
-1.4565304512e+00, 1.0920218694e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4563352320e+00, 1.0903040822e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4561400128e+00, 1.0943356236e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4559447936e+00, 1.0956327282e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4557495744e+00, 1.0936344859e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4555543552e+00, 1.0916011868e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4553591360e+00, 1.0937045997e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4551639168e+00, 1.0924074951e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4549686976e+00, 1.0923023244e-03, 0.0000000000e+00, -2.7736303776e-03
-1.4547734784e+00, 1.0901287978e-03, 0.0000000000e+00, -2.8043402061e-03
-1.4545782592e+00, 1.0925477226e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4543830400e+00, 1.0953522732e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4541878208e+00, 1.0925827795e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4539926016e+00, 1.0908649923e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4537973824e+00, 1.0896730583e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4536021632e+00, 1.0906195941e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4534069440e+00, 1.0930735758e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4532117248e+00, 1.0912155611e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4530165056e+00, 1.0913908455e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4528212864e+00, 1.0909000492e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4526260672e+00, 1.0933540309e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4524308480e+00, 1.0911103904e-03, -2.9097211929e-05, -2.8070395860e-03
-1.4522356288e+00, 1.0916713006e-03, -2.2716859434e-05, -2.8070395860e-03
-1.4520404096e+00, 1.0945109080e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4518451904e+00, 1.0948264199e-03, 0.0000000000e+00, -2.8070395860e-03
-1.4516499712e+00, 1.0926178364e-03, -9.0797323971e-06, -2.8070395860e-03
-1.4514547520e+00, 1.0939499979e-03, -3.3444265277e-05, -2.8070395860e-03
-1.4512595328e+00, 1.0913557886e-03, -3.3444265277e-05, -2.8070395860e-03
-1.4510643136e+00, 1.0945459649e-03, -1.2760704990e-05, -2.8196951203e-03
-1.4508690944e+00, 1.0916362437e-03, 0.0000000000e+00, -2.8404487944e-03
-1.4506738752e+00, 1.0931787465e-03, -1.5810653711e-05, -2.8404487944e-03
-1.4504786560e+00, 1.0936344859e-03, -3.3444265277e-05, -2.8404487944e-03
-1.4502834368e+00, 1.0934241446e-03, -3.3444265277e-05, -2.8404487944e-03
-1.4500882176e+00, 1.0962637521e-03, -2.2997314488e-05, -2.8404487944e-03
-1.4498929984e+00, 1.0954925007e-03, 0.0000000000e+00, -2.8404487944e-03
-1.4496977792e+00, 1.0937045997e-03, -1.2024510472e-05, -2.8404487944e-03
-1.4495025600e+00, 1.0914259024e-03, -3.3444265277e-05, -2.8404487944e-03
-1.4493073408e+00, 1.0912155611e-03, -3.3444265277e-05, -2.8404487944e-03
-1.4491121216e+00, 1.0966143209e-03, -2.3277769543e-05, -2.8404487944e-03
-1.4489169024e+00, 1.0906546510e-03, 0.0000000000e+00, -2.8404487944e-03
-1.4487216832e+00, 1.0923373813e-03, -9.4653580973e-07, -2.8404487944e-03
-1.4485264640e+00, 1.0933189740e-03, -3.3444265277e-05, -2.8404487944e-03
-1.4483312448e+00, 1.0934241446e-03, -3.3444265277e-05, -2.8404487944e-03
-1.4481360256e+00, 1.0925827795e-03, -2.0964015341e-05, -2.8404487944e-03
-1.4479408064e+00, 1.0913557886e-03, 0.0000000000e+00, -2.8404487944e-03
-1.4477455872e+00, 1.0962988090e-03, 0.0000000000e+00, -2.8404487944e-03
-1.4475503680e+00, 1.0942304529e-03, -2.1805380506e-05, -2.8404487944e-03
-1.4473551488e+00, 1.0938798841e-03, -3.3444265277e-05, -2.8415706146e-03
-1.4471599296e+00, 1.0902690253e-03, -1.8089351030e-05, -2.8738580028e-03
-1.4469647104e+00, 1.0929333483e-03, 0.0000000000e+00, -2.8738580028e-03
-1.4467694912e+00, 1.0952471025e-03, 0.0000000000e+00, -2.8738580028e-03
-1.4465742720e+00, 1.0938448272e-03, -8.9044479878e-06, -2.8738580028e-03
-1.4463790528e+00, 1.0940551685e-03, -3.3444265277e-05, -2.8738580028e-03
-1.4461838336e+00, 1.0929684052e-03, -1.4829061019e-05, -2.8738580028e-03
-1.4459886144e+00, 1.0927580639e-03, 0.0000000000e+00, -2.8738580028e-03
-1.4457933952e+00, 1.0905845372e-03, 0.0000000000e+00, -2.8738580028e-03
-1.4455981760e+00, 1.0968246622e-03, 0.0000000000e+00, -2.8738580028e-03
-1.4454029568e+00, 1.0904443097e-03, -2.6818514609e-05, -2.8738580028e-03
-1.4452077376e+00, 1.0914259024e-03, -9.0096186334e-06, -2.8738580028e-03
-1.4450125184e+00, 1.0941603392e-03, 0.0000000000e+00, -2.8738580028e-03
-1.4448172992e+00, 1.0885512381e-03, 0.0000000000e+00, -2.8738580028e-03
-1.4446220800e+00, 1.0928281777e-03, 0.0000000000e+00, -2.8738580028e-03
