% Moku:Pro Oscilloscope
% Channel A
% Channel B
% Channel C
% Channel D
% Time span 2.788 s, time offset -92.92 ms, Precision acquisition mode, no averaging
% Edge trigger: Channel D, level 4.593 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Ramp, 200.000 mHz, 22.0 mVpp, offset 5.1 mV, phase 0.000 000 deg, symmetry 50.00 %
% Output B (off) - DC, 1.5 mV
% Internal 10 MHz clock
% Acquired 2025-09-23 T 16:37:12 +0800
% Time (s), Channel A (V), Channel B (V), Channel D (V)
-1.4649248768e+00, 1.4258159698e-02, -5.2935891581e-05, 5.5137814330e-03
-1.4647296576e+00, 1.4261174590e-02, 6.7659781955e-05, 5.5137814330e-03
-1.4645344384e+00, 1.4265416473e-02, 2.0248854952e-04, 5.5137814330e-03
-1.4643392192e+00, 1.4265942326e-02, 1.6886899983e-04, 5.5137814330e-03
-1.4641440000e+00, 1.4261910785e-02, 2.0999072223e-05, 5.5137814330e-03
-1.4639487808e+00, 1.4260122884e-02, -5.7388115575e-05, 5.5137814330e-03
-1.4637535616e+00, 1.4260122884e-02, 4.5994628977e-05, 5.5137814330e-03
-1.4635583424e+00, 1.4266608407e-02, 1.9070943722e-04, 5.5137814330e-03
-1.4633631232e+00, 1.4267414715e-02, 1.8930716195e-04, 5.5137814330e-03
-1.4631679040e+00, 1.4264540051e-02, 4.5328548222e-05, 5.5137814330e-03
-1.4629726848e+00, 1.4260894135e-02, -5.1463502544e-05, 5.5137814330e-03
-1.4627774656e+00, 1.4266047497e-02, 3.1375909249e-05, 5.5137814330e-03
-1.4625822464e+00, 1.4258370040e-02, 1.8576641688e-04, 5.5137814330e-03
-1.4623870272e+00, 1.4265942326e-02, 2.1188379385e-04, 5.5137814330e-03
-1.4621918080e+00, 1.4258370040e-02, 7.8457301562e-05, 5.5137814330e-03
-1.4619965888e+00, 1.4259316575e-02, -2.8361017410e-05, 5.5137814330e-03
-1.4618013696e+00, 1.4259842429e-02, 2.4364532880e-05, 5.5137814330e-03
-1.4616061504e+00, 1.4260718851e-02, 1.8008720202e-04, 5.5137814330e-03
-1.4614109312e+00, 1.4265802099e-02, 2.2664274111e-04, 5.5137814330e-03
-1.4612157120e+00, 1.4266082554e-02, 1.1200673748e-04, 5.5137814330e-03
-1.4610204928e+00, 1.4259281519e-02, -1.6511791348e-05, 5.5137814330e-03
-1.4608252736e+00, 1.4262822264e-02, 1.5880767474e-05, 5.5137814330e-03
-1.4606300544e+00, 1.4264329710e-02, 1.7044655952e-04, 5.5137814330e-03
-1.4604348352e+00, 1.4269588242e-02, 2.4339993063e-04, 5.5137814330e-03
-1.4602396160e+00, 1.4267975625e-02, 1.4138440447e-04, 5.5137814330e-03
-1.4600443968e+00, 1.4266923919e-02, 3.5056881842e-08, 5.5137814330e-03
-1.4598491776e+00, 1.4265802099e-02, 7.3268883050e-06, 5.5137814330e-03
-1.4596539584e+00, 1.4263383174e-02, 1.5533704344e-04, 5.5137814330e-03
-1.4594587392e+00, 1.4268992275e-02, 2.5237449238e-04, 5.5137814330e-03
-1.4592635200e+00, 1.4265416473e-02, 1.6950002371e-04, 5.5137814330e-03
-1.4590683008e+00, 1.4261840671e-02, 1.9772081359e-05, 5.5137814330e-03
-1.4588730816e+00, 1.4263242946e-02, -1.9982422650e-06, 5.5137814330e-03
-1.4586778624e+00, 1.4262927434e-02, 1.3668678230e-04, 5.5137814330e-03
-1.4584826432e+00, 1.4261104476e-02, 2.5514398605e-04, 5.5137814330e-03
-1.4582874240e+00, 1.4260543566e-02, 1.9053415281e-04, 5.5137814330e-03
-1.4580922048e+00, 1.4258229812e-02, 4.0034959063e-05, 5.5137814330e-03
